,Stock,Index Weight,SYMBOL,Top 25 Companies by Index Weight,
1,APPLE (AAPL),6.05%,AAPL,Ref: https://www.investopedia.com/the-best-25-sp500-stocks-8778635,
2,MICROSOFT (MSFT),5.35%,MSFT,,
3,NVIDIA (NVDA),5.33%,NVDA,stock list,"'AAPL','MSFT','NVDA','AMZN','GOOG','META','BRK-B','GOOGL','AVGO','TSLA','LLY','JPM','WMT','V','XOM','MA','UNH','ORCL','NFLX','COST','JNJ','PG','ABBV','HD','BAC'"
4,"AMAZON.COM, INC (AMZN)",3.93%,AMZN,,
5,ALPHABET CLASS C (GOOG),3.86%,GOOG,,
6,META (META),2.55%,META,,
7,BERKSHIRE HATH (BRK.B),2.11%,BRK-B,,
8,ALPHABET CLASS A (GOOGL),1.84%,GOOGL,,
9,BROADCOM (AVGO),1.66%,AVGO,,
10,TESLA (TSLA),1.64%,TSLA,,
11,ELI LILLY (LLY),1.46%,LLY,,
12,JP MORGAN (JPM),1.32%,JPM,,
13,WALMART (WMT),1.29%,WMT,,
14,VISA (V),1.12%,V,,
15,EXXON MOBIL (XOM),0.97%,XOM,,
16,MASTERCARD (MA),0.94%,MA,,
17,UNITEDHEALTH GROUP (UNH),0.90%,UNH,,
18,ORACLE (ORCL),0.81%,ORCL,,
19,NETFLIX (NFLX),0.81%,NFLX,,
20,COSTCO (COST),0.78%,COST,,
21,JOHNSON & JOHNSON (JNJ),0.75%,JNJ,,
22,PROCTER AND GAMBLE (PG),0.73%,PG,,
23,ABBVIE (ABBV),0.70%,ABBV,,
24,HOME DEPOT (HD),0.69%,HD,,
25,BANK OF AMERICA (BAC),0.63%,BAC,,